000000..00FFFF; 统一码 (基本多文种平面)
1D2C0..1D2DF; 卡克托维克
1D2E0..1D2FF; 玛雅数字
1D300..1D35F; 太玄经符号
1D360..1D37F; 算筹数字
1D400..1D7FF; 数学字母数字符号
1D800..1DAAF; 萨顿手语记号
1DF00..1DFFF; 拉丁扩充-G
1E000..1E02F; 格拉哥里增补
1E030..1E08F; 西里尔扩充-D
1E100..1E14F; 涅该布瓦启苗
1E290..1E2BF; 托托
1E2C0..1E2FF; 万乔
1E4D0..1E4FF; 纳格蒙达里
1E7E0..1E7FF; 埃塞俄比亚扩充-B
1E800..1E8DF; 门迪基卡奎
1E900..1E95F; 阿德拉姆
1EC70..1ECBF; 印度帐目数字
1ED00..1ED4F; 奥斯曼帐目数字
1EE00..1EEFF; 阿拉伯数学字母符号
1F000..1F02F; 麻将牌
1F030..1F09F; 多米诺牌
1F0A0..1F0FF; 扑克
1F100..1F1FF; 包围字母数字增补
1F200..1F2FF; 包围表意文字增补
1F300..1F5FF; 各式符号与图形
1F600..1F64F; 表情
1F650..1F67F; 装饰杂锦
1F680..1F6FF; 交通与地图符号
1F700..1F77F; 炼金术符号
1F780..1F7FF; 几何形状扩充
1F800..1F8FF; 增补箭头-C
1F900..1F9FF; 增补符号与图形
1FA00..1FA6F; 棋符号
1FA70..1FAFF; 符号与图形扩充-A
1FB00..1FBFF; 传统计算机符号
20000..2A6DF; 中日韩统一表意文字扩充 B
2A700..2B73F; 中日韩统一表意文字扩充 C
2B740..2B81F; 中日韩统一表意文字扩充 D
2B820..2CEAF; 中日韩统一表意文字扩充 E
2CEB0..2EBEF; 中日韩统一表意文字扩充 F
2F800..2FA1F; 中日韩兼容表意文字增补
30000..3134F; 中日韩统一表意文字扩充 G
31350..323AF; 中日韩统一表意文字扩充 H
E0000..E007F; 标签
E0100..E01EF; 变体选择符增补
F0000..FFFFF; 增补私用区域-A
100000..10FFFF; 增补私用区域-B
